ID Organoide Form,ID Organoide Placa,Classification,Votos Acceptable,Votos Not Acceptable,Consenso especialistas,Excluido porque
Organoid_Acq1,Ba1 96_1 Dy30 H1,,0,0,,sem classificacao no gabarito
Organoid_Acq2,Ba2 96_1 Dy30 C6,,0,0,,sem classificacao no gabarito
Organoid_Acq3,Ba2 96_1 Dy30 E4,,0,0,,sem classificacao no gabarito
Organoid_Acq4,Ba2 96_2 Dy30 B4,,0,0,,sem classificacao no gabarito
Organoid_Acq5,Ba2 96_2 Dy30 D12-2-%(stitched),Acceptable,5,0,Good,
Organoid_1,Ba1 96_1 Dy28 A2,,4,1,Good,Dy28 (gabarito e de Dy30)
Organoid_2,Ba1 96_1 Dy28 A8,,1,4,Bad,Dy28 (gabarito e de Dy30)
Organoid_3,Ba1 96_1 Dy28 D4,,3,2,Uncertain-Good,Dy28 (gabarito e de Dy30)
Organoid_4,Ba1 96_1 Dy28 E10,,4,1,Good,Dy28 (gabarito e de Dy30)
Organoid_5,Ba1 96_1 Dy28 F12,,4,1,Good,Dy28 (gabarito e de Dy30)
Organoid_6,Ba1 96_1 Dy28 G11,,4,1,Good,Dy28 (gabarito e de Dy30)
Organoid_7,Ba1 96_1 Dy30 A1,Acceptable,4,1,Good,
Organoid_8,Ba1 96_1 Dy30 A10,Acceptable,5,0,Good,
Organoid_9,Ba1 96_1 Dy30 A11,Acceptable,5,0,Good,
Organoid_10,Ba1 96_1 Dy30 A12,Acceptable,4,1,Good,
Organoid_11,Ba1 96_1 Dy30 A2,Acceptable,4,1,Good,
Organoid_12,Ba1 96_1 Dy30 A3,Acceptable,5,0,Good,
Organoid_13,Ba1 96_1 Dy30 A4,Acceptable,5,0,Good,
Organoid_14,Ba1 96_1 Dy30 A5,Acceptable,5,0,Good,
Organoid_15,Ba1 96_1 Dy30 A6,Acceptable,5,0,Good,
Organoid_16,Ba1 96_1 Dy30 A7,Acceptable,5,0,Good,
Organoid_17,Ba1 96_1 Dy30 A8 INV,Not Acceptable,1,4,Bad,
Organoid_18,Ba1 96_1 Dy30 A8,Not Acceptable,1,4,Bad,
Organoid_19,Ba1 96_1 Dy30 A9,Acceptable,5,0,Good,
Organoid_20,Ba1 96_1 Dy30 B1,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_21,Ba1 96_1 Dy30 B10,Acceptable,5,0,Good,
Organoid_22,Ba1 96_1 Dy30 B11,Acceptable,5,0,Good,
Organoid_23,Ba1 96_1 Dy30 B12,Not Acceptable,1,4,Bad,
Organoid_24,Ba1 96_1 Dy30 B2,Acceptable,5,0,Good,
Organoid_25,Ba1 96_1 Dy30 B3,Acceptable,4,1,Good,
Organoid_26,Ba1 96_1 Dy30 B4 INV,Acceptable,5,0,Good,
Organoid_27,Ba1 96_1 Dy30 B4,Acceptable,5,0,Good,
Organoid_28,Ba1 96_1 Dy30 B5,Acceptable,5,0,Good,
Organoid_29,Ba1 96_1 Dy30 B6,Acceptable,5,0,Good,
Organoid_30,Ba1 96_1 Dy30 B7,Acceptable,4,1,Good,
Organoid_31,Ba1 96_1 Dy30 B8,Acceptable,4,1,Good,
Organoid_32,Ba1 96_1 Dy30 B9,Acceptable,5,0,Good,
Organoid_33,Ba1 96_1 Dy30 C1,,3,2,Uncertain-Good,Uncertain-Good
Organoid_34,Ba1 96_1 Dy30 C10 INV,Acceptable,5,0,Good,
Organoid_35,Ba1 96_1 Dy30 C10,Acceptable,5,0,Good,
Organoid_36,Ba1 96_1 Dy30 C11 INV,Acceptable,5,0,Good,
Organoid_37,Ba1 96_1 Dy30 C11,Acceptable,5,0,Good,
Organoid_38,Ba1 96_1 Dy30 C12,Acceptable,5,0,Good,
Organoid_39,Ba1 96_1 Dy30 C2,Acceptable,4,1,Good,
Organoid_40,Ba1 96_1 Dy30 C3,Acceptable,5,0,Good,
Organoid_41,Ba1 96_1 Dy30 C4,Acceptable,4,1,Good,
Organoid_42,Ba1 96_1 Dy30 C5,Acceptable,5,0,Good,
Organoid_43,Ba1 96_1 Dy30 C6,Acceptable,4,1,Good,
Organoid_44,Ba1 96_1 Dy30 C7,Not Acceptable,1,4,Bad,
Organoid_45,Ba1 96_1 Dy30 C8,Acceptable,5,0,Good,
Organoid_46,Ba1 96_1 Dy30 D1,Not Acceptable,0,5,Bad,
Organoid_47,Ba1 96_1 Dy30 D10,Acceptable,5,0,Good,
Organoid_48,Ba1 96_1 Dy30 D11 INV,Acceptable,5,0,Good,
Organoid_49,Ba1 96_1 Dy30 D11,Acceptable,5,0,Good,
Organoid_50,Ba1 96_1 Dy30 D12,Acceptable,5,0,Good,
Organoid_51,Ba1 96_1 Dy30 D2,Acceptable,5,0,Good,
Organoid_52,Ba1 96_1 Dy30 D3,Acceptable,5,0,Good,
Organoid_53,Ba1 96_1 Dy30 D4,,3,2,Uncertain-Good,Uncertain-Good
Organoid_54,Ba1 96_1 Dy30 D5,,3,2,Uncertain-Good,Uncertain-Good
Organoid_55,Ba1 96_1 Dy30 D6,Acceptable,5,0,Good,
Organoid_56,Ba1 96_1 Dy30 D7,Acceptable,4,1,Good,
Organoid_57,Ba1 96_1 Dy30 D8,Acceptable,4,1,Good,
Organoid_58,Ba1 96_1 Dy30 D9,Acceptable,4,1,Good,
Organoid_59,Ba1 96_1 Dy30 E1,Acceptable,5,0,Good,
Organoid_60,Ba1 96_1 Dy30 E10,Acceptable,4,1,Good,
Organoid_61,Ba1 96_1 Dy30 E11,,3,2,Uncertain-Good,Uncertain-Good
Organoid_62,Ba1 96_1 Dy30 E12,Acceptable,4,1,Good,
Organoid_63,Ba1 96_1 Dy30 E2,Acceptable,5,0,Good,
Organoid_64,Ba1 96_1 Dy30 E3,Acceptable,4,1,Good,
Organoid_65,Ba1 96_1 Dy30 E4,Acceptable,5,0,Good,
Organoid_66,Ba1 96_1 Dy30 E5,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_67,Ba1 96_1 Dy30 E6,,3,2,Uncertain-Good,Uncertain-Good
Organoid_68,Ba1 96_1 Dy30 E7,Acceptable,5,0,Good,
Organoid_69,Ba1 96_1 Dy30 E9,,3,2,Uncertain-Good,Uncertain-Good
Organoid_70,Ba1 96_1 Dy30 F1,Acceptable,4,1,Good,
Organoid_71,Ba1 96_1 Dy30 F10,,3,2,Uncertain-Good,Uncertain-Good
Organoid_72,Ba1 96_1 Dy30 F11,Acceptable,5,0,Good,
Organoid_73,Ba1 96_1 Dy30 F12,Acceptable,4,1,Good,
Organoid_74,Ba1 96_1 Dy30 F2,Acceptable,4,1,Good,
Organoid_75,Ba1 96_1 Dy30 F3,Acceptable,5,0,Good,
Organoid_76,Ba1 96_1 Dy30 F4,Acceptable,4,1,Good,
Organoid_77,Ba1 96_1 Dy30 F5,Acceptable,5,0,Good,
Organoid_78,Ba1 96_1 Dy30 F6,Acceptable,4,1,Good,
Organoid_79,Ba1 96_1 Dy30 F7,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_80,Ba1 96_1 Dy30 F8,Acceptable,5,0,Good,
Organoid_81,Ba1 96_1 Dy30 F9,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_82,Ba1 96_1 Dy30 G1,Not Acceptable,0,5,Bad,
Organoid_83,Ba1 96_1 Dy30 G10,Acceptable,5,0,Good,
Organoid_84,Ba1 96_1 Dy30 G11,Acceptable,4,1,Good,
Organoid_85,Ba1 96_1 Dy30 G12,Acceptable,5,0,Good,
Organoid_86,Ba1 96_1 Dy30 G2,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_87,Ba1 96_1 Dy30 G3 INV,Acceptable,5,0,Good,
Organoid_88,Ba1 96_1 Dy30 G3,Acceptable,5,0,Good,
Organoid_89,Ba1 96_1 Dy30 G5,Acceptable,5,0,Good,
Organoid_90,Ba1 96_1 Dy30 G6,Acceptable,5,0,Good,
Organoid_91,Ba1 96_1 Dy30 G7,Acceptable,5,0,Good,
Organoid_92,Ba1 96_1 Dy30 G8,Acceptable,5,0,Good,
Organoid_93,Ba1 96_1 Dy30 G9 INV,Acceptable,4,1,Good,
Organoid_94,Ba1 96_1 Dy30 G9,Acceptable,4,1,Good,
