ID Organoide Form,ID Organoide Placa,Classification
Organoid_Acq1,Ba1 96_1 Dy30 H1,
Organoid_Acq2,Ba2 96_1 Dy30 C6,
Organoid_Acq3,Ba2 96_1 Dy30 E4,
Organoid_Acq4,Ba2 96_2 Dy30 B4,
Organoid_Acq5,Ba2 96_2 Dy30 D12-2-%(stitched),
Organoid_1,Ba1 96_1 Dy28 A2,Not Acceptable
Organoid_2,Ba1 96_1 Dy28 A8,Acceptable
Organoid_3,Ba1 96_1 Dy28 D4,Not Acceptable
Organoid_4,Ba1 96_1 Dy28 E10,Acceptable
Organoid_5,Ba1 96_1 Dy28 F12,Uncertain
Organoid_6,Ba1 96_1 Dy28 G11,Not Acceptable
Organoid_7,Ba1 96_1 Dy30 A1,Acceptable
Organoid_8,Ba1 96_1 Dy30 A10,Not Acceptable
Organoid_9,Ba1 96_1 Dy30 A11,Acceptable
Organoid_10,Ba1 96_1 Dy30 A12,Uncertain
Organoid_11,Ba1 96_1 Dy30 A2,Not Acceptable
Organoid_12,Ba1 96_1 Dy30 A3,Acceptable
Organoid_13,Ba1 96_1 Dy30 A4,Not Acceptable
Organoid_14,Ba1 96_1 Dy30 A5,Acceptable
Organoid_15,Ba1 96_1 Dy30 A6,Acceptable
Organoid_16,Ba1 96_1 Dy30 A7,Not Acceptable
Organoid_17,Ba1 96_1 Dy30 A8 INV,Acceptable
Organoid_18,Ba1 96_1 Dy30 A8,Not Acceptable
Organoid_19,Ba1 96_1 Dy30 A9,Not Acceptable
Organoid_20,Ba1 96_1 Dy30 B1,Acceptable
Organoid_21,Ba1 96_1 Dy30 B10,Not Acceptable
Organoid_22,Ba1 96_1 Dy30 B11,Acceptable
Organoid_23,Ba1 96_1 Dy30 B12,Uncertain
Organoid_24,Ba1 96_1 Dy30 B2,Not Acceptable
Organoid_25,Ba1 96_1 Dy30 B3,Acceptable
Organoid_26,Ba1 96_1 Dy30 B4 INV,Not Acceptable
Organoid_27,Ba1 96_1 Dy30 B4,Acceptable
Organoid_28,Ba1 96_1 Dy30 B5,Uncertain
Organoid_29,Ba1 96_1 Dy30 B6,Not Acceptable
Organoid_30,Ba1 96_1 Dy30 B7,Acceptable
Organoid_31,Ba1 96_1 Dy30 B8,Not Acceptable
Organoid_32,Ba1 96_1 Dy30 B9,Acceptable
Organoid_33,Ba1 96_1 Dy30 C1,Acceptable
Organoid_34,Ba1 96_1 Dy30 C10 INV,Not Acceptable
Organoid_35,Ba1 96_1 Dy30 C10,Acceptable
Organoid_36,Ba1 96_1 Dy30 C11 INV,Not Acceptable
Organoid_37,Ba1 96_1 Dy30 C11,Not Acceptable
Organoid_38,Ba1 96_1 Dy30 C12,Acceptable
Organoid_39,Ba1 96_1 Dy30 C2,Not Acceptable
Organoid_40,Ba1 96_1 Dy30 C3,Acceptable
Organoid_41,Ba1 96_1 Dy30 C4,Uncertain
Organoid_42,Ba1 96_1 Dy30 C5,Not Acceptable
Organoid_43,Ba1 96_1 Dy30 C6,Acceptable
Organoid_44,Ba1 96_1 Dy30 C7,Not Acceptable
Organoid_45,Ba1 96_1 Dy30 C8,Acceptable
Organoid_46,Ba1 96_1 Dy30 D1,Uncertain
Organoid_47,Ba1 96_1 Dy30 D10,Not Acceptable
Organoid_48,Ba1 96_1 Dy30 D11 INV,Acceptable
Organoid_49,Ba1 96_1 Dy30 D11,Not Acceptable
Organoid_50,Ba1 96_1 Dy30 D12,Acceptable
Organoid_51,Ba1 96_1 Dy30 D2,Uncertain
Organoid_52,Ba1 96_1 Dy30 D3,Not Acceptable
Organoid_53,Ba1 96_1 Dy30 D4,Acceptable
Organoid_54,Ba1 96_1 Dy30 D5,Not Acceptable
Organoid_55,Ba1 96_1 Dy30 D6,Acceptable
Organoid_56,Ba1 96_1 Dy30 D7,Acceptable
Organoid_57,Ba1 96_1 Dy30 D8,Not Acceptable
Organoid_58,Ba1 96_1 Dy30 D9,Acceptable
Organoid_59,Ba1 96_1 Dy30 E1,Not Acceptable
Organoid_60,Ba1 96_1 Dy30 E10,Not Acceptable
Organoid_61,Ba1 96_1 Dy30 E11,Acceptable
Organoid_62,Ba1 96_1 Dy30 E12,Not Acceptable
Organoid_63,Ba1 96_1 Dy30 E2,Acceptable
Organoid_64,Ba1 96_1 Dy30 E3,Uncertain
Organoid_65,Ba1 96_1 Dy30 E4,Not Acceptable
Organoid_66,Ba1 96_1 Dy30 E5,Acceptable
Organoid_67,Ba1 96_1 Dy30 E6,Not Acceptable
Organoid_68,Ba1 96_1 Dy30 E7,Acceptable
Organoid_69,Ba1 96_1 Dy30 E9,Uncertain
Organoid_70,Ba1 96_1 Dy30 F1,Not Acceptable
Organoid_71,Ba1 96_1 Dy30 F10,Acceptable
Organoid_72,Ba1 96_1 Dy30 F11,Not Acceptable
Organoid_73,Ba1 96_1 Dy30 F12,Acceptable
Organoid_74,Ba1 96_1 Dy30 F2,Acceptable
Organoid_75,Ba1 96_1 Dy30 F3,Not Acceptable
Organoid_76,Ba1 96_1 Dy30 F4,Acceptable
Organoid_77,Ba1 96_1 Dy30 F5,Not Acceptable
Organoid_78,Ba1 96_1 Dy30 F6,Not Acceptable
Organoid_79,Ba1 96_1 Dy30 F7,Acceptable
Organoid_80,Ba1 96_1 Dy30 F8,Not Acceptable
Organoid_81,Ba1 96_1 Dy30 F9,Acceptable
Organoid_82,Ba1 96_1 Dy30 G1,Uncertain
Organoid_83,Ba1 96_1 Dy30 G10,Not Acceptable
Organoid_84,Ba1 96_1 Dy30 G11,Acceptable
Organoid_85,Ba1 96_1 Dy30 G12,Not Acceptable
Organoid_86,Ba1 96_1 Dy30 G2,Acceptable
Organoid_87,Ba1 96_1 Dy30 G3 INV,Uncertain
Organoid_88,Ba1 96_1 Dy30 G3,Not Acceptable
Organoid_89,Ba1 96_1 Dy30 G5,Acceptable
Organoid_90,Ba1 96_1 Dy30 G6,Not Acceptable
Organoid_91,Ba1 96_1 Dy30 G7,Acceptable
Organoid_92,Ba1 96_1 Dy30 G8,Acceptable
Organoid_93,Ba1 96_1 Dy30 G9 INV,Not Acceptable
Organoid_94,Ba1 96_1 Dy30 G9,Acceptable
Organoid_95,Ba1 96_1 Dy30 H10,Not Acceptable
Organoid_96,Ba1 96_1 Dy30 H11,Not Acceptable
Organoid_97,Ba1 96_1 Dy30 H12,Acceptable
Organoid_98,Ba1 96_1 Dy30 H2,Not Acceptable
Organoid_99,Ba1 96_1 Dy30 H3,Acceptable
Organoid_100,Ba1 96_1 Dy30 H4,Uncertain
Organoid_101,Ba1 96_1 Dy30 H5,Not Acceptable
Organoid_102,Ba1 96_1 Dy30 H6,Acceptable
Organoid_103,Ba1 96_1 Dy30 H7,Not Acceptable
Organoid_104,Ba1 96_1 Dy30 H8,Acceptable
Organoid_105,Ba1 96_1 Dy30 H9,Uncertain
Organoid_106,Ba2 96_1 Dy28 A7,Not Acceptable
Organoid_107,Ba2 96_1 Dy28 C11,Acceptable
Organoid_108,Ba2 96_1 Dy28 D10(1)%,Not Acceptable
Organoid_109,Ba2 96_1 Dy28 D3,Acceptable
Organoid_110,Ba2 96_1 Dy28 E7(1)%,Uncertain
Organoid_111,Ba2 96_1 Dy28 G10,Not Acceptable
Organoid_112,Ba2 96_1 Dy30 A10,Acceptable
Organoid_113,Ba2 96_1 Dy30 A11,Not Acceptable
Organoid_114,Ba2 96_1 Dy30 A12(stitched),Acceptable
Organoid_115,Ba2 96_1 Dy30 A2,Acceptable
Organoid_116,Ba2 96_1 Dy30 A3,Not Acceptable
Organoid_117,Ba2 96_1 Dy30 A4,Acceptable
Organoid_118,Ba2 96_1 Dy30 A5(stitched),Not Acceptable
Organoid_119,Ba2 96_1 Dy30 A6 INV,Not Acceptable
Organoid_120,Ba2 96_1 Dy30 A6,Acceptable
Organoid_121,Ba2 96_1 Dy30 A7,Not Acceptable
Organoid_122,Ba2 96_1 Dy30 A8,Acceptable
Organoid_123,Ba2 96_1 Dy30 B1,Uncertain
Organoid_124,Ba2 96_1 Dy30 B10,Not Acceptable
Organoid_125,Ba2 96_1 Dy30 B11,Acceptable
Organoid_126,Ba2 96_1 Dy30 B2,Not Acceptable
Organoid_127,Ba2 96_1 Dy30 B3 INV,Acceptable
Organoid_128,Ba2 96_1 Dy30 B3,Uncertain
Organoid_129,Ba2 96_1 Dy30 B4(stitched),Not Acceptable
Organoid_130,Ba2 96_1 Dy30 B5,Acceptable
Organoid_131,Ba2 96_1 Dy30 B6,Not Acceptable
Organoid_132,Ba2 96_1 Dy30 B7(#)%,Acceptable
Organoid_133,Ba2 96_1 Dy30 B8(#)%,Acceptable
Organoid_134,Ba2 96_1 Dy30 B9(stitched)#%,Not Acceptable
Organoid_135,Ba2 96_1 Dy30 C1(1)%,Acceptable
Organoid_136,Ba2 96_1 Dy30 C1(2)%,Not Acceptable
Organoid_137,Ba2 96_1 Dy30 C10,Not Acceptable
Organoid_138,Ba2 96_1 Dy30 C11,Acceptable
Organoid_139,Ba2 96_1 Dy30 C12,Not Acceptable
Organoid_140,Ba2 96_1 Dy30 C2,Acceptable
Organoid_141,Ba2 96_1 Dy30 C3,Uncertain
Organoid_142,Ba2 96_1 Dy30 C4,Not Acceptable
Organoid_143,Ba2 96_1 Dy30 C5(stitched),Acceptable
Organoid_144,Ba2 96_1 Dy30 C7(stitched),Not Acceptable
Organoid_145,Ba2 96_1 Dy30 C8,Acceptable
Organoid_146,Ba2 96_1 Dy30 C9,Uncertain
Organoid_147,Ba2 96_1 Dy30 D1,Not Acceptable
Organoid_148,Ba2 96_1 Dy30 D10(1)%,Acceptable
Organoid_149,Ba2 96_1 Dy30 D10(2)%,Not Acceptable
Organoid_150,Ba2 96_1 Dy30 D11 INV,Acceptable
Organoid_151,Ba2 96_1 Dy30 D11,Uncertain
Organoid_152,Ba2 96_1 Dy30 D12,Not Acceptable
Organoid_153,Ba2 96_1 Dy30 D2,Acceptable
Organoid_154,Ba2 96_1 Dy30 D3 INV,Not Acceptable
Organoid_155,Ba2 96_1 Dy30 D3,Acceptable
Organoid_156,Ba2 96_1 Dy30 D4(stitched),Acceptable
Organoid_157,Ba2 96_1 Dy30 D5,Not Acceptable
Organoid_158,Ba2 96_1 Dy30 D6,Acceptable
Organoid_159,Ba2 96_1 Dy30 D7(stitched),Not Acceptable
Organoid_160,Ba2 96_1 Dy30 D8,Not Acceptable
Organoid_161,Ba2 96_1 Dy30 D9,Acceptable
Organoid_162,Ba2 96_1 Dy30 E1(1)%,Not Acceptable
Organoid_163,Ba2 96_1 Dy30 E1(2)%,Acceptable
Organoid_164,Ba2 96_1 Dy30 E10,Uncertain
Organoid_165,Ba2 96_1 Dy30 E11,Not Acceptable
Organoid_166,Ba2 96_1 Dy30 E12,Acceptable
Organoid_167,Ba2 96_1 Dy30 E2,Not Acceptable
Organoid_168,Ba2 96_1 Dy30 E3,Acceptable
Organoid_169,Ba2 96_1 Dy30 E5 INV,Uncertain
Organoid_170,Ba2 96_1 Dy30 E5,Not Acceptable
Organoid_171,Ba2 96_1 Dy30 E6,Acceptable
Organoid_172,Ba2 96_1 Dy30 E7(1)%,Not Acceptable
Organoid_173,Ba2 96_1 Dy30 E7(2)%,Acceptable
Organoid_174,Ba2 96_1 Dy30 E8(1)%,Acceptable
Organoid_175,Ba2 96_1 Dy30 E8(2)%,Not Acceptable
Organoid_176,Ba2 96_1 Dy30 E9(stitched),Acceptable
Organoid_177,Ba2 96_1 Dy30 F1,Not Acceptable
Organoid_178,Ba2 96_1 Dy30 F10,Not Acceptable
Organoid_179,Ba2 96_1 Dy30 F11,Acceptable
Organoid_180,Ba2 96_1 Dy30 F12,Not Acceptable
Organoid_181,Ba2 96_1 Dy30 F2,Acceptable
Organoid_182,Ba2 96_1 Dy30 F3 INV,Uncertain
Organoid_183,Ba2 96_1 Dy30 F3,Not Acceptable
Organoid_184,Ba2 96_1 Dy30 F4,Acceptable
Organoid_185,Ba2 96_1 Dy30 F5,Not Acceptable
Organoid_186,Ba2 96_1 Dy30 F6,Acceptable
Organoid_187,Ba2 96_1 Dy30 F7,Uncertain
Organoid_188,Ba2 96_1 Dy30 F8,Not Acceptable
Organoid_189,Ba2 96_1 Dy30 F9,Acceptable
Organoid_190,Ba2 96_1 Dy30 G1,Not Acceptable
